Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,60.029999,61.230000,59.910000,61.080002,59.135422,14270100
2020-07-15,61.389999,61.860001,60.939999,61.130001,59.183823,14952700
2020-07-16,61.099998,61.380001,60.980000,61.259998,59.309689,7770200
2020-07-17,61.540001,61.689999,61.330002,61.590000,59.629185,6321700
2020-07-20,61.459999,61.490002,60.779999,60.970001,59.028923,6818600
2020-07-21,61.400002,62.160000,61.330002,61.500000,59.542046,7847300
2020-07-22,61.689999,62.080002,61.060001,61.990002,60.016445,7022700
2020-07-23,62.200001,62.459999,62.000000,62.209999,60.229439,9468000
2020-07-24,62.310001,62.830002,61.830002,62.130001,60.151993,6809200
2020-07-27,62.070000,62.450001,61.939999,62.439999,60.452118,6801900
2020-07-28,62.419998,62.980000,62.389999,62.669998,60.674797,6699300
2020-07-29,62.650002,62.959999,62.490002,62.759998,60.761925,7486400
2020-07-30,62.610001,62.980000,62.320000,62.759998,60.761925,10901300
2020-07-31,62.509998,62.709999,61.919998,62.700001,60.703842,10277200
2020-08-03,62.730000,62.759998,62.220001,62.529999,60.539249,8614400
2020-08-04,62.439999,63.330002,62.330002,63.310001,61.294422,7417400
2020-08-05,63.410000,63.540001,63.000000,63.180000,61.168560,7143600
2020-08-06,63.029999,63.290001,62.919998,63.169998,61.158878,11983700
2020-08-07,63.070000,63.570000,63.000000,63.509998,61.488052,9175700
2020-08-10,63.580002,63.970001,63.439999,63.840000,61.807545,4345600
2020-08-11,64.139999,64.300003,63.220001,63.400002,61.381557,8633500
2020-08-12,63.660000,64.500000,63.660000,64.220001,62.175449,8021600
2020-08-13,64.080002,64.360001,63.990002,64.169998,62.127037,5857100
2020-08-14,64.099998,64.370003,63.919998,64.160004,62.117367,3776300
2020-08-17,64.309998,64.730003,64.190002,64.519997,62.465893,5172900
2020-08-18,64.620003,64.959999,64.330002,64.779999,62.717617,4927300
2020-08-19,64.690002,64.779999,64.160004,64.269997,62.223854,5871600
2020-08-20,63.900002,64.220001,63.790001,64.139999,62.097992,10178600
2020-08-21,64.059998,64.389999,63.869999,64.300003,62.252903,5713900
2020-08-24,64.410004,64.849998,64.209999,64.849998,62.785397,6978500
2020-08-25,65.000000,65.050003,64.430000,64.709999,62.649849,4517100
2020-08-26,64.580002,64.879997,64.279999,64.790001,62.727306,5375300
2020-08-27,64.910004,65.500000,64.900002,65.190002,63.114567,8711200
2020-08-28,65.500000,65.809998,64.879997,65.769997,63.676098,6868200
2020-08-31,65.529999,65.769997,65.320000,65.580002,63.492149,7661200
2020-09-01,65.570000,65.680000,65.129997,65.650002,63.559921,9723000
2020-09-02,65.949997,67.110001,65.849998,66.839996,64.712029,11174600
2020-09-03,67.000000,67.610001,65.209999,65.690002,63.598644,26304400
2020-09-04,65.879997,66.150002,64.730003,65.540001,63.453434,15604800
2020-09-08,65.379997,65.510002,63.889999,64.160004,62.117367,16316600
2020-09-09,64.529999,65.720001,64.410004,65.089996,63.017754,12848500
2020-09-10,65.089996,65.269997,64.150002,64.290001,62.243221,11060600
2020-09-11,64.489998,64.959999,64.190002,64.650002,62.591755,10212500
2020-09-14,64.970001,65.370003,64.779999,65.070000,62.998386,6397000
2020-09-15,65.230003,65.459999,64.889999,64.980003,62.911251,5672900
2020-09-16,65.260002,65.430000,64.629997,64.690002,62.630482,7270700
2020-09-17,64.150002,64.620003,63.820000,64.279999,62.233540,10108700
2020-09-18,64.379997,64.470001,63.250000,63.689999,61.662319,9988900
2020-09-21,62.880001,63.070000,62.110001,62.830002,61.191914,11326200
2020-09-22,62.869999,63.509998,62.810001,63.200001,61.552265,7148600
2020-09-23,63.400002,63.560001,62.180000,62.250000,60.627037,7015900
2020-09-24,62.250000,63.040001,61.830002,62.709999,61.075039,9141700
2020-09-25,62.389999,63.110001,62.250000,63.040001,61.396439,7432100
2020-09-28,63.560001,64.110001,63.529999,63.750000,62.087929,6077600
2020-09-29,63.779999,63.930000,63.209999,63.330002,61.678875,8150400
2020-09-30,63.590000,64.500000,63.560001,64.099998,62.428799,8284100
2020-10-01,64.470001,64.610001,63.910000,64.459999,62.779419,9262900
2020-10-02,63.820000,64.389999,63.610001,64.099998,62.428799,7463000
2020-10-05,64.250000,64.610001,64.150002,64.529999,62.847595,4501200
2020-10-06,64.680000,64.930000,63.919998,64.110001,62.438541,6552800
2020-10-07,64.480003,65.070000,64.349998,64.800003,63.110554,8073100
2020-10-08,65.089996,65.290001,64.820000,65.230003,63.529354,6659000
2020-10-09,65.489998,66.029999,65.410004,65.739998,64.026039,7894700
2020-10-12,66.019997,66.849998,65.980003,66.500000,64.766228,8685600
2020-10-13,66.300003,66.650002,66.139999,66.449997,64.717537,7505700
2020-10-14,66.440002,66.709999,65.839996,66.110001,64.386398,6566200
2020-10-15,65.629997,66.330002,65.570000,66.150002,64.425354,6650000
2020-10-16,66.349998,66.709999,66.150002,66.169998,64.444824,6701200
2020-10-19,66.169998,66.449997,65.129997,65.309998,63.607254,7733900
2020-10-20,65.949997,66.080002,65.110001,65.239998,63.539082,7660200
2020-10-21,65.169998,65.669998,65.139999,65.300003,63.597515,7013900
2020-10-22,65.309998,65.489998,64.959999,65.269997,63.568295,7779700
2020-10-23,65.500000,65.650002,65.190002,65.389999,63.685169,5094100
2020-10-26,64.889999,65.019997,63.980000,64.550003,62.867073,9352300
2020-10-27,64.589996,64.940002,64.349998,64.379997,62.701504,5331400
2020-10-28,63.459999,63.790001,62.430000,62.500000,60.870518,10980600
2020-10-29,62.340000,63.099998,61.720001,62.480000,60.851040,8942700
2020-10-30,62.240002,62.540001,61.490002,62.259998,60.636776,10093200
2020-11-02,63.150002,63.540001,62.759998,63.250000,61.600967,10935100
2020-11-03,63.889999,64.879997,63.810001,64.290001,62.613850,20578800
2020-11-04,64.650002,65.410004,64.239998,64.320000,62.643066,25605800
2020-11-05,65.070000,65.400002,64.610001,64.790001,63.100815,13919500
2020-11-06,64.889999,65.419998,64.809998,65.089996,63.392990,12703600
